x,y,LOCAL_DAY,CLIMATE_IDENTIFIER,STATION_NAME,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,SPEED_MAX_GUST,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,TOTAL_SNOW_FLAG,LOCAL_YEAR,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,SPEED_MAX_GUST_FLAG,LOCAL_MONTH,SNOW_ON_GROUND,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,TOTAL_PRECIPITATION_FLAG,ID,HEATING_DEGREE_DAYS,LOCAL_DATE,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,MIN_REL_HUMIDITY,COOLING_DEGREE_DAYS,DIRECTION_MAX_GUST,PROVINCE_CODE
-120.8333333,56.25,28,1182998,FORT ST JOHN,,,,0,,0,,,0,,12.2,,1910,4.7,,,3,,,-2.8,,,1182998.1910.3.28,13.3,1910-03-28 0:00,,,,0,,BC
-120.8333333,56.25,29,1182998,FORT ST JOHN,,,,0,,0,,,0,,6.1,,1910,1.4,,,3,,,-3.3,,,1182998.1910.3.29,16.6,1910-03-29 0:00,,,,0,,BC
-120.8333333,56.25,30,1182998,FORT ST JOHN,,,,0,,0,,,0,,8.9,,1910,4.2,,,3,,,-0.6,,,1182998.1910.3.30,13.8,1910-03-30 0:00,,,,0,,BC
-120.8333333,56.25,31,1182998,FORT ST JOHN,,,,0,,0,,,0,,10,,1910,3.9,,,3,,,-2.2,,,1182998.1910.3.31,14.1,1910-03-31 0:00,,,,0,,BC
-120.8333333,56.25,1,1182998,FORT ST JOHN,,,,0,,0,,,0,,7.2,,1910,0.8,,,4,,,-5.6,,,1182998.1910.4.1,17.2,1910-04-01 0:00,,,,0,,BC
-120.8333333,56.25,2,1182998,FORT ST JOHN,,,,0,,0,,,0,,8.9,,1910,3.4,,,4,,,-2.2,,,1182998.1910.4.2,14.6,1910-04-02 0:00,,,,0,,BC
-120.8333333,56.25,3,1182998,FORT ST JOHN,,,,0,,0,,,0,,7.8,,1910,1.7,,,4,,,-4.4,,,1182998.1910.4.3,16.3,1910-04-03 0:00,,,,0,,BC
-120.8333333,56.25,4,1182998,FORT ST JOHN,,,,0,,0,,,0,,8.3,,1910,3.1,,,4,,,-2.2,,,1182998.1910.4.4,14.9,1910-04-04 0:00,,,,0,,BC
-120.8333333,56.25,5,1182998,FORT ST JOHN,,,,0,,0,,,0,,9.4,,1910,4.7,,,4,,,0,,,1182998.1910.4.5,13.3,1910-04-05 0:00,,,,0,,BC
-120.8333333,56.25,6,1182998,FORT ST JOHN,,,,0,,0,,,0,,8.3,,1910,0,,,4,,,-8.3,,,1182998.1910.4.6,18,1910-04-06 0:00,,,,0,,BC
-120.8333333,56.25,7,1182998,FORT ST JOHN,,,,0,,0,,,0,,8.9,,1910,0.6,,,4,,,-7.8,,,1182998.1910.4.7,17.4,1910-04-07 0:00,,,,0,,BC
-120.8333333,56.25,8,1182998,FORT ST JOHN,,,,0,,0,,,0,,10.6,,1910,4.8,,,4,,,-1.1,,,1182998.1910.4.8,13.2,1910-04-08 0:00,,,,0,,BC
-120.8333333,56.25,9,1182998,FORT ST JOHN,,,,0,,0,,,0,,11.1,,1910,4.7,,,4,,,-1.7,,,1182998.1910.4.9,13.3,1910-04-09 0:00,,,,0,,BC
-120.8333333,56.25,10,1182998,FORT ST JOHN,,,,0,,0,,,0,,10,,1910,2.5,,,4,,,-5,,,1182998.1910.4.10,15.5,1910-04-10 0:00,,,,0,,BC
-120.8333333,56.25,11,1182998,FORT ST JOHN,,,,0,,0,,,0,,15,,1910,7,,,4,,,-1.1,,,1182998.1910.4.11,11,1910-04-11 0:00,,,,0,,BC
-120.8333333,56.25,12,1182998,FORT ST JOHN,,,,7.6,,0,,,7.6,,8.9,,1910,2.3,,,4,,,-4.4,,,1182998.1910.4.12,15.7,1910-04-12 0:00,,,,0,,BC
-120.8333333,56.25,13,1182998,FORT ST JOHN,,,,0,,0,,,0,,8.9,,1910,4.5,,,4,,,0,,,1182998.1910.4.13,13.5,1910-04-13 0:00,,,,0,,BC
-120.8333333,56.25,14,1182998,FORT ST JOHN,,,,0,,0,,,0,,10.6,,1910,5.9,,,4,,,1.1,,,1182998.1910.4.14,12.1,1910-04-14 0:00,,,,0,,BC
-120.8333333,56.25,15,1182998,FORT ST JOHN,,,,0,,0,,,0,,17.2,,1910,10,,,4,,,2.8,,,1182998.1910.4.15,8,1910-04-15 0:00,,,,0,,BC
-120.8333333,56.25,16,1182998,FORT ST JOHN,,,,0,,0,,,0,,20,,1910,9.5,,,4,,,-1.1,,,1182998.1910.4.16,8.5,1910-04-16 0:00,,,,0,,BC
-120.8333333,56.25,17,1182998,FORT ST JOHN,,,,0,,0,,,0,,10,,1910,0.9,,,4,,,-8.3,,,1182998.1910.4.17,17.1,1910-04-17 0:00,,,,0,,BC
-120.8333333,56.25,18,1182998,FORT ST JOHN,,,,0,,0,,,0,,13.9,,1910,7.3,,,4,,,0.6,,,1182998.1910.4.18,10.7,1910-04-18 0:00,,,,0,,BC
-120.8333333,56.25,19,1182998,FORT ST JOHN,,,,0,,0,,,0,,17.2,,1910,7,,,4,,,-3.3,,,1182998.1910.4.19,11,1910-04-19 0:00,,,,0,,BC
-120.8333333,56.25,20,1182998,FORT ST JOHN,,,,0,,0,,,0,,18.3,,1910,10,,,4,,,1.7,,,1182998.1910.4.20,8,1910-04-20 0:00,,,,0,,BC
-120.8333333,56.25,21,1182998,FORT ST JOHN,,,,0,,0,,,0,,7.8,,1910,2,,,4,,,-3.9,,,1182998.1910.4.21,16,1910-04-21 0:00,,,,0,,BC
-120.8333333,56.25,22,1182998,FORT ST JOHN,,,,0,,0,,,0,,7.2,,1910,3.9,,,4,,,0.6,,,1182998.1910.4.22,14.1,1910-04-22 0:00,,,,0,,BC
-120.8333333,56.25,23,1182998,FORT ST JOHN,,,,0,,0,,,0,,17.2,,1910,10.6,,,4,,,3.9,,,1182998.1910.4.23,7.4,1910-04-23 0:00,,,,0,,BC
-120.8333333,56.25,24,1182998,FORT ST JOHN,,,,0,,0,,,0,,24.4,,1910,16.4,,,4,,,8.3,,,1182998.1910.4.24,1.6,1910-04-24 0:00,,,,0,,BC
