x,y,TOTAL_RAIN,MIN_REL_HUMIDITY,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,LOCAL_DAY,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,CLIMATE_IDENTIFIER,MIN_TEMPERATURE,LOCAL_YEAR,MAX_REL_HUMIDITY,LOCAL_DATE,MEAN_TEMPERATURE_FLAG,LOCAL_MONTH,TOTAL_RAIN_FLAG,MEAN_TEMPERATURE,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,MIN_TEMPERATURE_FLAG,SPEED_MAX_GUST,ID,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,PROVINCE_CODE,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS,STATION_NAME
-119.60222222222222,49.463055555555556,1.5,,,,27,,,1126150,11.1,1941,,1941-05-27 00:00:00,,5,,16.7,,,,22.2,1.5,,0,,,,,1126150.1941.5.27,,0,BC,,1.3,PENTICTON A
-119.60222222222222,49.463055555555556,5.6,,,,28,,,1126150,10.6,1941,,1941-05-28 00:00:00,,5,,11.2,,,,11.7,5.6,,0,,,,,1126150.1941.5.28,,0,BC,,6.8,PENTICTON A
-119.60222222222222,49.463055555555556,0.3,,,,29,,,1126150,7.2,1941,,1941-05-29 00:00:00,,5,,11.4,,,,15.6,0.3,,0,,,,,1126150.1941.5.29,,0,BC,,6.6,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,30,,T,1126150,11.7,1941,,1941-05-30 00:00:00,,5,T,15.6,,,,19.4,0,,0,,,,,1126150.1941.5.30,,0,BC,,2.4,PENTICTON A
-119.60222222222222,49.463055555555556,2,,,,31,,,1126150,9.4,1941,,1941-05-31 00:00:00,,5,,13.1,,,,16.7,2,,0,,,,,1126150.1941.5.31,,0,BC,,4.9,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,1,,T,1126150,9.4,1941,,1941-06-01 00:00:00,,6,T,15.3,,,,21.1,0,,0,,,,,1126150.1941.6.1,,0,BC,,2.7,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,2,,T,1126150,8.9,1941,,1941-06-02 00:00:00,,6,T,16.1,,,,23.3,0,,0,,,,,1126150.1941.6.2,,0,BC,,1.9,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,3,,,1126150,6.7,1941,,1941-06-03 00:00:00,,6,,14.5,,,,22.2,0,,0,,,,,1126150.1941.6.3,,0,BC,,3.5,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,4,,,1126150,7.2,1941,,1941-06-04 00:00:00,,6,,15.6,,,,23.9,0,,0,,,,,1126150.1941.6.4,,0,BC,,2.4,PENTICTON A
-119.60222222222222,49.463055555555556,1,,,,5,,,1126150,6.7,1941,,1941-06-05 00:00:00,,6,,14.2,,,,21.7,1,,0,,,,,1126150.1941.6.5,,0,BC,,3.8,PENTICTON A
