Element,Item,Year,Unit,Value,Flag,Flag Description
Yield,Maize (corn),1995,100 g/ha,72528,A,Official figure
Production,Maize (corn),1995,t,7270900,A,Official figure
Area harvested,Maize (corn),1996,ha,1090000,A,Official figure
Yield,Maize (corn),1996,100 g/ha,69141,A,Official figure
Production,Maize (corn),1996,t,7536400,A,Official figure
Area harvested,Maize (corn),1997,ha,1045100,A,Official figure
Yield,Maize (corn),1997,100 g/ha,68702,A,Official figure
Production,Maize (corn),1997,t,7180000,A,Official figure
Area harvested,Maize (corn),1998,ha,1118300,A,Official figure
Yield,Maize (corn),1998,100 g/ha,80054,A,Official figure
Production,Maize (corn),1998,t,8952400,A,Official figure
Area harvested,Maize (corn),1999,ha,1148800,A,Official figure
Yield,Maize (corn),1999,100 g/ha,79747,A,Official figure
Production,Maize (corn),1999,t,9161300,A,Official figure
Area harvested,Maize (corn),2000,ha,1106500,A,Official figure
Yield,Maize (corn),2000,100 g/ha,62844,A,Official figure
Production,Maize (corn),2000,t,6953700,A,Official figure
Area harvested,Maize (corn),2001,ha,1267500,A,Official figure
Yield,Maize (corn),2001,100 g/ha,66187,A,Official figure
Production,Maize (corn),2001,t,8389200,A,Official figure
Area harvested,Maize (corn),2002,ha,1283200,A,Official figure
Yield,Maize (corn),2002,100 g/ha,70128,A,Official figure
Production,Maize (corn),2002,t,8998800,A,Official figure
Area harvested,Maize (corn),2003,ha,1226100,A,Official figure
Yield,Maize (corn),2003,100 g/ha,78193,A,Official figure
Production,Maize (corn),2003,t,9587300,A,Official figure
Area harvested,Maize (corn),2004,ha,1072300,A,Official figure
Yield,Maize (corn),2004,100 g/ha,82410,A,Official figure
Production,Maize (corn),2004,t,8836800,A,Official figure
Area harvested,Maize (corn),2005,ha,1084700,A,Official figure
Yield,Maize (corn),2005,100 g/ha,86035,A,Official figure
Production,Maize (corn),2005,t,9332200,A,Official figure
Area harvested,Maize (corn),2006,ha,1060900,A,Official figure
Yield,Maize (corn),2006,100 g/ha,84737,A,Official figure
Production,Maize (corn),2006,t,8989800,A,Official figure
Area harvested,Maize (corn),2007,ha,1368700,A,Official figure
Yield,Maize (corn),2007,100 g/ha,85108,A,Official figure
Production,Maize (corn),2007,t,11648700,A,Official figure
Area harvested,Maize (corn),2008,ha,1168800,A,Official figure
Yield,Maize (corn),2008,100 g/ha,90623,A,Official figure
Production,Maize (corn),2008,t,10592000,A,Official figure
Area harvested,Maize (corn),2009,ha,1142000,A,Official figure
Yield,Maize (corn),2009,100 g/ha,83723,A,Official figure
Production,Maize (corn),2009,t,9561200,A,Official figure
Area harvested,Maize (corn),2010,ha,1235100,A,Official figure
