"yrmon","max_3day","max_5day"
202111,120.2,134.5
202112,33.9,41.2
202201,51.6,54.6
202202,36.8,45
202203,58.3,64.9
202204,24.2,33.5
202205,29.6,37.3
202206,29.5,39.8
202207,12.5,24.8
202208,5.9,5.9
202209,4.9,4.9
202210,38.5,58.2
202211,55.8,72.3
202212,63.1,103.2
202301,38.6,52.6
202302,25,31.7
202303,14.6,15.4
202304,25.5,37
202305,15.6,15.6
202306,14.6,15.5
202307,20.5,20.5
202308,20.1,20.1
202309,16.4,21.7
202310,58.6,61.8
202311,34.5,86.8
202312,68.7,89.5
202401,67.7,85.9
202402,31.2,47.9
202403,40,47.4
202404,35.1,38.9
202405,4.9,4.9
