"avgexc","nexc","year","month"
1.7,1,2020,12
0.883,6,2021,1
0,0,2021,2
1.19,1,2021,3
1.907,7,2021,4
1.39,1,2021,5
5.929,7,2021,6
0.753,7,2021,7
1.73,6,2021,8
1.238,5,2021,9
2.39,1,2021,10
0.843,7,2021,11
1.9,1,2021,12
1.36,3,2022,1
0.7,1,2022,2
1,2,2022,3
0,0,2022,4
0,0,2022,5
2.3,1,2022,6
2.722,6,2022,7
1.035,11,2022,8
1.308,6,2022,9
1.226,16,2022,10
0.7,1,2022,11
0.897,4,2022,12
1.667,7,2023,1
0,0,2023,2
3.2,1,2023,3
4.8,1,2023,4
2.067,13,2023,5
1.113,6,2023,6
1.518,9,2023,7
1.4,1,2023,8
1.765,4,2023,9
1.341,7,2023,10
2.297,3,2023,11
1.605,11,2023,12
2.257,8,2024,1
1.03,3,2024,2
2.25,2,2024,3
2.497,3,2024,4
1.72,3,2024,5
